hyponym,hypernym,label,split
motown,motown,0,train
rice,food,1,train
puma,brand,1,train
process,morphology,0,train
sonisphere,festival,1,train
ship,location,0,train
electricity,aquarius,0,train
surfing,sport,1,train
omorchoe,ireland,0,train
corn,grain,1,train
richmond,juvenile,0,train
gaur,asia,0,train
polybutadiene,material,1,train
council,professor,0,train
shiseido,manufacturer,1,train
pennsylvania,pennsylvania,0,train
dog,animal,1,train
abkhaz,language,1,train
adele,act,1,train
cloud,shape,1,train
abscess,mastitis,0,train
deed,seal,0,train
dapsone,success,0,train
echidna,animal,1,train
spice,ingredient,1,train
tarragon,herb,1,train
deforestation,belize,0,train
development,issue,0,train
manwë,lord,0,train
dentistry,antiseptic,0,train
forest,habitat,1,train
maskiri,artist,1,train
ideology,thought,1,train
lovebox,europe,0,train
honey,foodstuff,1,train
hokusai,artist,1,train
music,conductor,0,train
andbodie,prop,0,train
slave,soldier,0,train
climbing,sport,1,train
japan,mitsubishi,0,train
investment,country,0,train
tokind,jam,0,train
katrina,guest,0,train
petratherm,company,1,train
distribution,law,0,train
alabama,team,0,train
iron,metal,1,train
novalis,august,0,train
pornography,title,0,train
pan,weapon,0,train
cabbage,ingredient,1,train
gawker,publication,1,train
magazine,artist,0,train
polyester,material,1,train
figure,merchandise,0,train
abraham,subject,0,train
mujib,premier,0,train
tày,language,0,train
brandy,liquor,1,train
mellitus,cause,0,train
biglietto,bands,0,train
game,stoke,0,train
leviticus,subject,0,train
death,punishment,1,train
cork,area,1,train
sauce,food,1,train
cable,component,1,train
example,ecosystem,0,train
transmission,area,0,train
opposition,democracy,0,train
vichy,town,1,train
terrorism,religion,0,train
jerome,city,1,train
bird,animal,1,train
bisexuality,issue,0,train
kayaking,theme,0,train
toucan,piciformes,1,train
miosis,symptom,1,train
country,information,0,train
desire,figure,0,train
student,staff,0,train
cooking,slavery,0,train
deauville,town,1,train
homoeopathy,medicine,1,train
plastic,good,1,train
portraiture,art,1,train
desegregation,policy,1,train
shrew,badger,0,train
fastrack,product,0,train
serial,duty,0,train
mexico,state,1,train
gout,cause,0,train
prosecution,practice,0,train
job,shoeshining,0,train
croatia,europe,0,train
visa,foreigner,0,train
seabird,animal,1,train
mexicans,group,1,train
fractal,fractal,0,train
duet,project,0,train
surface,carbonate,0,train
wood,material,1,train
swindon,part,0,train
banana,form,0,train
rowing,sport,1,train
condominium,plan,0,train
nofx,band,1,train
charleston,city,1,train
job,curator,0,train
mexico,payment,0,train
shia,thought,0,train
michigan,state,1,train
intel,company,1,train
television,actress,0,train
opposition,cause,0,train
cooking,activity,1,train
corinth,city,1,train
zotero,website,1,train
rat,badger,0,train
bacteria,organism,1,train
miami,city,1,train
nevada,state,1,train
appointment,commander,0,train
isp,parameter,0,train
juventus,powerhouse,0,train
trapeze,element,0,train
sale,field,0,train
whistle,call,1,train
texas,state,1,train
wofl,fox,0,train
kidnapping,crime,1,train
functionality,atm,0,train
symptom,mastitis,0,train
artist,modigliani,0,train
light,cue,0,train
wales,part,0,train
caffeine,substance,1,train
vulture,scavenger,1,train
bono,artist,1,train
queensrÿche,artist,0,train
steel,material,1,train
good,product,0,train
lyceum,campus,0,train
consultancy,distribution,0,train
glass,polycarbonate,0,train
mace,weapon,1,train
energy,industry,0,train
crime,instability,0,train
billiard,sport,1,train
survey,research,1,train
deer,specie,1,train
language,subject,1,train
skin,tenby,0,train
love,sorrow,0,train
arsenal,part,0,train
physics,subject,1,train
zebrafish,fish,1,train
athens,greece,0,train
christmas,holiday,1,train
word,member,0,train
geography,extra,0,train
slash,band,0,train
arkansas,state,1,train
wood,commodity,1,train
kerry,airport,1,train
chiaranzana,dance,1,train
plum,fruit,1,train
flashback,memory,1,train
death,band,1,train
finance,sector,1,train
yachting,sport,1,train
periodical,part,0,train
experiment,research,1,train
hrid,lake,1,train
oxidiz,emulsion,0,train
addition,part,1,train
ash,material,1,train
zealand,country,0,train
blizzcon,event,1,train
appointment,director,0,train
youth,band,1,train
addiction,addiction,0,train
environment,cooperation,0,train
section,offence,0,train
flea,insect,1,train
rwanda,country,1,train
bellerophon,hero,1,train
use,limousine,0,train
grimaldi,child,0,train
lyricist,musician,0,train
gas,station,0,train
prison,location,1,train
everton,liverpool,0,train
architecture,topic,1,train
culture,theme,0,train
vehicle,weapon,0,train
mingus,columbia,0,train
wall,object,1,train
hamburg,city,1,train
strasbourg,city,1,train
branch,climbing,0,train
els,town,1,train
submarine,armour,0,train
fox,animal,1,train
fernhill,band,1,train
trematode,badger,0,train
clannad,artist,0,train
aeschylus,author,1,train
film,event,0,train
hog,livestock,1,train
weight,measurement,1,train
mail,default,0,train
bicycle,vehicle,1,train
boat,location,0,train
occurrence,ecotone,0,train
bobcat,company,1,train
dislocation,injury,1,train
waterboarding,method,1,train
cronus,herodotus,0,train
child,mother,0,train
river,water,1,train
jerusalem,israel,0,train
noodle,food,1,train
destruction,themistocles,0,train
depurture,player,0,train
bartending,job,1,train
revision,matter,0,train
ellerslie,development,0,train
newspaper,format,0,train
moisturiser,product,1,train
dominicans,group,1,train
carcass,artist,0,train
oakley,rival,0,train
movement,racism,0,train
man,figure,1,train
measurement,height,0,train
tin,commodity,1,train
agriculture,use,0,train
cunard,company,1,train
zeus,herodotus,0,train
mento,member,0,train
moongarden,group,1,train
technique,shaping,0,train
maxentius,africa,0,train
country,responsibility,0,train
bronze,metal,1,train
methane,ice,0,train
chimpanzee,animal,1,train
form,brahms,0,train
body,place,0,train
accession,action,1,train
abb,machinery,0,train
dread,emotion,1,train
pedagogy,subject,1,train
plutonium,fuel,1,train
spain,europe,0,train
truck,road,0,train
lemon,form,0,train
hobart,australia,0,train
starcraft,game,1,train
johnnyphlo,artist,1,train
trade,country,0,train
fish,food,1,train
seattle,location,1,train
offense,crime,0,train
louis,king,1,train
cotton,crop,1,train
derung,minority,1,train
middlesbrough,team,1,train
strawberry,fruit,1,train
svengali,character,0,train
engineer,professional,1,train
akademgorodok,district,0,train
nirvana,band,1,train
behavior,area,0,train
siam,part,0,train
thing,beauty,0,train
son,father,0,train
sulamiyya,town,1,train
problem,symptom,0,train
body,slt,0,train
jeffry,character,0,train
title,reward,0,train
mouse,biology,0,train
democracy,matter,0,train
condiment,foodstuff,1,train
itsteach,part,0,train
chelsea,leader,0,train
character,subject,0,train
diarrhoea,ailment,1,train
millerettid,group,1,train
talktalk,part,0,train
aercap,company,1,train
monmouth,illinois,0,train
immigration,topic,1,train
henry,example,0,train
dryland,ecosystem,1,train
animal,part,0,train
occom,occom,0,train
raspberry,fruit,1,train
reagan,governor,1,train
baseball,sport,1,train
che,minister,0,train
accident,part,0,train
adelaide,australia,0,train
angola,country,1,train
burden,advantage,0,train
arizona,people,0,train
hate,link,0,train
garlic,seasoning,1,train
trondheim,city,1,train
rabbit,badger,0,train
kilkenny,area,1,train
prince,highlight,0,train
tomato,vegetable,1,train
music,item,0,train
altitude,factor,0,train
judge,man,0,train
clay,impurity,0,train
foch,representative,0,train
deed,deed,0,train
barbet,piciformes,0,train
diglett,pokémon,0,train
electroporation,technique,1,train
solnechny,district,1,train
education,context,0,train
tibetan,language,1,train
phyllis,character,0,train
groupon,website,1,train
viewing,tourist,0,train
comenius,figure,0,train
bolivia,place,1,train
assault,action,1,train
subh,mother,0,train
religion,institution,1,train
mercury,deposit,1,train
vomiting,symptom,1,train
dominance,leadership,0,train
student,people,1,train
scotland,progenitor,0,train
digis,company,1,train
css,opera,0,train
luke,character,0,train
peach,plum,0,train
forbes,company,1,train
labrinth,act,1,train
zealand,independence,0,train
vomiting,quinapril,0,train
insaaf,film,1,train
youtube,forum,1,train
rivalry,musician,0,train
abdullah,ruler,1,train
camping,service,0,train
mosul,city,1,train
life,theme,0,train
connexxion,part,0,train
porcelain,material,1,train
medicaid,program,1,train
energy,issue,0,train
seleucia,city,1,train
britain,missionary,0,train
carly,revenge,0,train
zealand,settlement,0,train
academia,field,0,train
london,gregory,0,train
afghanistan,country,1,train
spain,parliament,0,train
bond,asset,1,train
artist,people,1,train
railway,terminal,0,train
gold,deposit,1,train
chicken,protein,0,train
canvas,material,1,train
crasdant,band,1,train
work,maid,0,train
prawn,bait,0,train
bridge,structure,1,train
perl,language,1,train
citrus,crop,0,train
manufacturing,field,1,train
columbia,part,0,train
psychology,subject,1,train
ring,eye,0,train
fracture,disease,0,train
croatia,country,1,train
tone,region,0,train
agreement,consideration,0,train
parliament,evidence,0,train
aouderas,oasis,1,train
plav,lake,0,train
nùng,language,0,train
samsung,recruiter,0,train
shape,characteristic,1,train
boeing,manufacturer,1,train
france,heir,0,train
form,exposure,0,train
exercise,element,0,train
kochalka,people,0,train
google,company,1,train
omegon,company,1,train
measure,measurement,0,train
bransle,dance,1,train
apple,vegetable,1,train
packaging,consumer,0,train
forest,ecotone,0,train
wolf,varmint,0,train
nagasaki,port,1,train
bush,president,1,train
australia,independence,0,train
dress,area,0,train
swimming,service,0,train
action,organisation,0,train
vole,badger,0,train
digipak,format,0,train
hyderabad,city,1,train
monocyte,cell,1,train
station,terminal,0,train
book,format,1,train
thessaloniki,city,1,train
legislation,law,1,train
ceramic,technology,1,train
automobile,product,1,train
flatfoot,band,1,train
death,theme,0,train
magnesite,commodity,1,train
guinness,ireland,0,train
chastity,hiv,0,train
raven,threat,0,train
ireland,port,0,train
appco,door,0,train
milling,agriculture,0,train
perth,australia,0,train
work,painting,0,train
tobacco,good,1,train
wolf,wildlife,1,train
holiday,benefit,1,train
establishment,term,0,train
yeast,biology,0,train
cream,fruit,0,train
site,wave,0,train
thailand,region,0,train
installation,smf,0,train
commodity,rubber,0,train
sheep,animal,1,train
juvenile,member,0,train
component,notion,0,train
chicken,stew,0,train
hospitality,subject,0,train
gonzo,company,1,train
menthol,application,0,train
blanket,aid,0,train
morphology,property,0,train
ngl,event,0,train
success,aaram,0,train
woman,bishop,0,train
bestival,europe,0,train
soyabean,crop,1,train
aries,moses,0,train
reptile,animal,1,train
astara,town,1,train
hiv,disease,1,train
dog,livestock,0,train
program,datum,0,train
queenston,port,1,train
sugarcane,crop,1,train
act,arbitrator,0,train
conic,point,0,train
netsky,artist,1,train
hepatica,specie,1,train
senescence,biology,0,train
easter,holiday,1,train
plastic,material,1,train
knowledge,academia,0,train
childbearing,outcome,0,train
theraceas,something,0,train
faculty,list,0,train
basketball,sport,1,train
evil,voldemort,0,train
lecture,event,1,train
canada,democracy,0,train
club,saloon,0,train
forkner,system,0,train
opossum,predator,0,train
arena,part,0,train
figure,copernicus,0,train
starch,material,0,train
dell,recruiter,0,train
tularemia,human,0,train
salmon,note,0,train
laudanum,opiate,1,train
efficiency,factor,1,train
rashi,god,0,train
religion,subject,1,train
thigh,place,0,train
anjou,part,0,train
perseus,hero,1,train
heat,force,0,train
context,information,0,train
paestum,town,1,train
lakeshore,resource,0,train
task,planning,0,train
pudding,thing,1,train
berlin,privatdocent,0,train
shannon,airport,1,train
pear,chile,0,train
flexibility,property,1,train
airport,sector,0,train
nothing,button,0,train
chuditch,animal,1,train
lahu,minority,1,train
china,nation,1,train
organ,meat,0,train
feminism,perspective,1,train
terminal,transport,0,train
badger,animal,1,train
endowment,institution,0,train
lead,pollutant,1,train
debt,product,0,train
lead,material,1,train
galesburg,illinois,0,train
hmông,language,0,train
osprey,prey,1,train
tennis,activity,1,train
pokémon,show,1,train
robbery,nothing,0,train
asclepius,member,0,train
baykalsky,district,1,train
india,independence,0,train
mca,course,0,train
video,default,0,train
canada,independence,0,train
group,kool,0,train
coconut,dispersal,0,train
finland,location,1,train
fortune,magazine,1,train
nation,pakistan,0,train
leukemia,condition,1,train
uyghur,language,1,train
sredska,location,1,train
panasonic,company,1,train
anorexia,illness,1,train
production,opera,0,train
technology,industry,1,train
something,i,0,train
mccartys,planter,0,train
rupert,city,1,train
composition,scale,0,train
pepito,character,1,train
mali,country,1,train
helium,atom,1,train
money,ransom,0,train
zaire,nation,1,train
grain,bioproduct,1,train
craigslist,website,1,train
experiment,material,0,train
ponsonby,place,1,train
yeast,flour,0,train
society,member,0,train
criminology,discipline,1,train
man,science,0,train
one,rotation,0,train
yao,minority,1,train
jazz,style,1,train
goat,livestock,1,train
athens,city,1,train
application,land,0,train
ceratopogonidae,animal,1,train
korea,country,1,train
teacher,profession,1,train
uncyclopedia,publication,1,train
cambodia,country,1,train
council,situation,0,train
knight,soldier,1,train
rihanna,artist,1,train
serbian,language,1,train
salary,benefit,1,train
blog,example,0,train
arnis,discipline,0,train
earning,outcome,0,train
copper,deposit,1,train
gps,technology,1,train
theon,campaign,0,train
anger,emotion,1,train
pulley,band,1,train
duplication,process,1,train
impotence,factor,0,train
cauliflower,pea,0,train
waterway,transport,0,train
fruits,shop,0,train
bihu,occasion,0,train
nevada,place,1,train
religion,perspective,0,train
protection,employment,0,train
greeks,civilisation,1,train
power,cult,0,train
broomstick,transport,1,train
incinerate,power,0,train
carrier,member,0,train
cachet,place,0,train
papayas,fruit,1,train
sassafra,specie,1,train
argentina,chile,0,train
murder,humanity,0,train
royce,artist,1,train
toulouse,city,1,train
railway,transport,0,train
superintendent,congressman,0,train
urbanus,prison,0,train
wyoming,territory,1,train
somalia,country,1,train
nickel,metal,1,train
microphone,feature,0,train
violence,theme,0,train
bias,sound,0,train
topic,quantity,0,train
group,door,0,train
acoustic,science,1,train
doctor,professional,1,train
hepatitis,disease,1,train
dragonfly,insect,1,train
emilio,earth,0,train
automation,development,1,train
bridge,infrastructure,1,train
band,group,1,train
tasmania,australia,0,train
thenursery,child,0,train
profession,feature,0,train
beruwela,place,1,train
point,equipment,0,train
nassau,governor,0,train
australia,market,0,train
airway,transport,0,train
cetacean,animal,1,train
none,design,0,train
england,country,1,train
sinhala,language,1,train
plasticity,science,0,train
diabetes,cause,0,train
soul,style,1,train
ancud,city,1,train
exile,migrant,1,train
drought,challenge,1,train
frequency,regulation,0,train
bowl,product,1,train
bosaso,somalia,0,train
dance,music,0,train
organism,nutrition,0,train
islam,part,0,train
sheep,livestock,1,train
lithium,metal,1,train
switzerland,europe,0,train
culture,discipline,0,train
intellect,quality,0,train
izmir,governor,0,train
atx,atx,0,train
thalassemia,anemia,0,train
nimmi,mother,0,train
royalty,part,0,train
thailand,country,1,train
ben,people,0,train
hospitality,interest,0,train
balcony,architecture,0,train
neuron,cell,1,train
ragtime,music,1,train
jamshedpur,city,1,train
insufflation,intake,1,train
iran,country,1,train
trenitalia,part,0,train
chemistry,subject,1,train
palestine,part,0,train
cockney,dialogue,0,train
shorthand,system,1,train
delta,airline,1,train
university,employment,0,train
community,perivoli,0,train
paris,war,0,train
use,postage,0,train
spanish,language,1,train
japan,example,0,train
electricity,something,1,train
chaat,fruit,0,train
pantera,musician,1,train
mongolian,minority,0,train
lombard,town,1,train
brandy,processing,0,train
england,king,0,train
cavalry,thousand,0,train
fish,icon,0,train
richmond,city,1,train
otter,note,0,train
winter,death,0,train
crime,emigration,0,train
albanians,group,1,train
poland,nation,1,train
grass,plant,1,train
transformer,component,1,train
simon,figure,0,train
leg,place,0,train
surabaya,indonesia,0,train
asthma,condition,1,train
website,form,0,train
milk,carbohydrate,0,train
perugia,part,0,train
fever,infection,0,train
peach,chile,0,train
homosexuality,area,0,train
dutthagamani,ruler,1,train
office,governor,0,train
pyy,hormone,1,train
marriage,marriage,0,train
bail,matter,0,train
rodent,prey,1,train
onion,vegetable,1,train
zealand,queensland,0,train
journalism,course,1,train
mouse,animal,1,train
eyehategod,musician,0,train
incentive,measure,0,train
psychology,discipline,1,train
australia,part,0,train
electromagnetic,science,0,train
fence,obstacle,1,train
injury,sbs,0,train
pakistan,country,1,train
agriculture,business,0,train
lagwagon,band,1,train
angola,part,0,train
taxila,civilisation,0,train
beethoven,composer,1,train
musician,anything,0,train
oil,emulsion,0,train
pollution,speculation,0,train
tlb,resource,0,train
america,hunter,0,train
sword,weapon,1,train
michigan,school,1,train
paris,valor,0,train
cajamarca,group,0,train
pneumonias,infection,1,train
ruby,language,1,train
law,rule,1,train
travel,subject,0,train
kavika,machinery,0,train
appointment,minister,0,train
shape,property,1,train
traveller,man,0,train
paralysis,symptom,1,train
animal,organism,1,train
patent,area,0,train
mexico,country,1,train
seoul,part,0,train
hani,minority,0,train
bar,place,1,train
amazoncom,website,0,train
demonstration,place,0,train
status,capital,0,train
coconut,form,0,train
biology,field,1,train
jews,people,1,train
grammar,something,1,train
coldplay,act,1,train
woman,part,0,train
australia,place,1,train
wari,group,1,train
cucumber,mango,0,train
wheat,food,1,train
kolera,member,0,train
gas,product,1,train
cherry,plum,0,train
seller,client,0,train
college,canada,0,train
oats,grain,1,train
suede,material,1,train
sale,method,0,train
guatemala,part,0,train
headache,symptom,1,train
use,meringue,0,train
canada,jurisdiction,0,train
pakistan,place,1,train
unhcr,organisation,1,train
security,cargo,0,train
work,item,0,train
rammstein,band,0,train
westmount,community,1,train
zeus,parentage,0,train
traffic,part,0,train
migration,country,0,train
snake,creature,1,train
trailer,video,1,train
cuba,country,1,train
collagen,cell,0,train
spa,highlight,0,train
albumsafe,milk,0,train
product,rubber,0,train
ivory,good,1,train
galkayo,somalia,0,train
anxiety,symptom,1,train
hell,punishment,1,train
chinese,migrant,0,train
cartoon,pakistan,0,train
homophobia,belief,1,train
california,rape,0,train
java,opera,0,train
mouse,badger,0,train
feltham,man,0,train
afghanistan,part,0,train
barley,grain,1,train
fencerow,ecotone,0,train
austria,country,1,train
algiers,slave,0,train
promise,material,0,train
immigration,issue,1,train
far,band,1,train
p62,protein,1,train
airplane,place,0,train
sodium,nutrient,1,train
weakness,symptom,0,train
snowboarding,sport,1,train
hamilton,force,0,train
tehelka,organisation,0,train
subsidy,measure,0,train
rice,adjunct,0,train
tornado,disturbance,1,train
pergamum,greece,0,train
bach,composer,1,train
cyberlox,style,0,train
management,area,0,train
corn,feedstock,1,train
seashore,resource,0,train
daanveer,film,0,train
wicklow,area,1,train
structure,scale,0,train
duffy,act,1,train
chandrababu,actor,1,train
business,part,0,train
oil,part,0,train
stock,food,1,train
cough,quinapril,0,train
limerick,area,1,train
place,sarmizegetusa,0,train
london,part,0,train
typhoid,disease,1,train
catholicism,religion,1,train
force,rival,0,train
war,stereotypicallymaleproblem,0,train
dna,evidence,1,train
law,discipline,1,train
slinkie,toy,1,train
states,part,0,train
language,parameter,0,train
lead,manufacture,0,train
char,note,0,train
image,something,1,train
garfunkel,musician,1,train
dove,brand,1,train
mortgage,deed,0,train
amphetamine,stimulant,1,train
norway,country,1,train
battery,crime,1,train
sgp,program,1,train
shoe,good,1,train
attack,force,0,train
cardiganshire,wales,0,train
wolverine,wildlife,1,train
food,beverage,0,train
channel,channel,0,train
ecuador,country,1,train
acorn,fruit,1,train
sipo,plan,0,train
whiskey,processing,0,train
grimaldi,extra,0,train
basketball,event,0,train
mental,anything,0,train
rash,symptom,1,train
structure,sphere,0,train
magnesium,electrolyte,1,train
cancer,disease,1,train
hebron,place,1,train
badminton,activity,1,train
darmstadtium,part,0,train
gastropub,food,0,train
honey,product,1,train
prussia,prince,0,train
restaurant,development,0,train
canon,company,1,train
clubantichrist,club,1,train
exit,europe,0,train
diabetes,disease,1,train
canada,none,0,train
class,design,0,train
opening,equipment,0,train
ohio,state,1,train
highway,infrastructure,1,train
lactose,carbohydrate,1,train
spain,violence,0,train
haiti,location,1,train
gillette,company,1,train
anger,mustafa,0,train
damage,infection,0,train
silk,fabric,1,train
what,difference,0,train
organisation,user,0,train
duisburg,part,0,train
rat,animal,1,train
melbourne,australia,0,train
cover,music,1,train
minister,aforesaid,0,train
commander,none,0,train
director,cko,0,train
transcaucasia,area,1,train
montreal,city,1,train
healthcare,industry,1,train
mediterranean,example,0,train
javascript,language,1,train
gold,metal,1,train
thesereduce,law,0,train
henry,henry,0,train
teacher,employee,1,train
girl,science,0,train
air,purpose,0,train
school,place,1,train
richard,mayor,0,train
mushroom,vegetable,1,train
minuet,brand,1,train
cesium,metal,1,train
britain,europe,0,train
windermere,development,0,train
broom,item,1,train
group,quotient,0,train
entitledmother,seacole,0,train
virginia,state,1,train
hammock,music,0,train
subject,inrutger,0,train
troppo,band,1,train
mellitus,bishop,1,train
education,area,0,train
bullock,animal,1,train
manganese,commodity,1,train
divorce,area,0,train
censorship,area,0,train
murder,atrocity,1,train
one,cover,0,train
headnoise,band,1,train
mathematic,subject,1,train
harkat,group,0,train
science,cooperation,0,train
malaria,infection,1,train
devon,sydney,0,train
hani,language,1,train
firearm,weaponry,1,train
cobble,sand,0,train
herb,seasoning,1,train
america,slave,0,train
rabbit,animal,1,train
fishing,issue,0,train
melon,plum,0,train
bombay,city,1,train
childline,abuse,0,train
gospel,style,1,train
infant,child,1,train
nectar,food,1,train
family,station,0,train
gap,sibling,0,train
rain,force,0,train
vision,quality,0,train
train,toy,0,train
